Tahun,Bulan,Kode Kepesertaan,Nama Bank,Deskripsi,Jumlah Nasabah Penyimpan,Jumlah Rekening Simpanan,Jumlah Saldo Simpanan,Jumlah Saldo Simpanan Dijamin,Uninsured,Insured,Check
2024,12,10300026,097,B.1.2 Nominal > Batasan Nilai Simpanan yang Dijamin,326,1037,2376559081479,652000000000,,,
2024,12,10300026,097,A.4.8 Nominal > 5 Miliar,1099,7220,32491540605261,0,,,
2024,12,10300026,097,B.1 Kategori 1,71400,83115,4676673780673,2952114699194,,,
2024,12,10300026,097,A.5.3 100 Juta < Nominal <= 200 Juta,1,1,141238298,0,,,
2024,12,10300026,097,A.5.6 1 Miliar < Nominal <= 2 Miliar,0,0,0,0,,,
2024,12,10300026,097,A.5.5 500 Juta < Nominal <= 1 Miliar,1,2,502886313,0,,,
2024,12,10300026,097,B.2 Kategori 2,3134,8416,22230037774427,0,,,
2024,12,10300026,097,B.2.3 Terindikasi melakukan atau diputuskan pengadilan melakukan tindakan perbuatan melanggar hukum yang membahayakan kelangsungan usaha bank atau merugikan bank (fraud),0,0,0,0,,,
2024,12,10300026,097,B. 3 Kategori 3,30940,166754,101267247499530,2699594170096,,,
2024,12,10300026,097,A.5.8 Nominal > 5 Miliar,4,15,64134612321,0,,,
2024,12,10300026,097,B.2.1 Tingkat Bunga Simpanan > Tingkat Bunga Penjaminan,2715,7983,22225650354521,0,,,
